Rank,Team,Elo
1,Arsenal,1660.89
2,Man City,1642.97
3,Man United,1572.31
4,Liverpool,1562.77
5,Bournemouth,1547.18
6,Aston Villa,1546.37
7,Chelsea,1541.43
8,Brentford,1531.5
9,Brighton,1528.14
10,Newcastle,1522.18
11,Sunderland,1515.86
12,Everton,1512.26
13,Leeds,1511.58
14,Nott'm Forest,1496.99
15,Fulham,1490.7
16,Crystal Palace,1479.38
17,Hull City,1448.99
18,Tottenham,1444.63
19,Ipswich Town,1419.57
20,Coventry City,1409.89
