Parlay,Risk_Level,Number_Of_Legs,Estimated_Hit_Probability,Estimated_Hit_Percentage,Legs
Parlay 1,Highest Confidence,2,0.8036,80.36,Man City vs Sunderland — Home or Draw (91.7%) | Leeds vs Crystal Palace — Home or Draw (87.6%)
Parlay 2,Low Risk,3,0.6895,68.95,Man City vs Sunderland — Home or Draw (91.7%) | Leeds vs Crystal Palace — Home or Draw (87.6%) | Nott'm Forest vs Coventry City — Home or Draw (85.8%)
Parlay 3,Medium Risk,4,0.3365,33.65,Man City vs Sunderland — Home or Draw (91.7%) | Leeds vs Crystal Palace — Home or Draw (87.6%) | Nott'm Forest vs Coventry City — Home Win (67.3%) | Fulham vs Man United — Away Win (62.2%)
Parlay 4,High Risk,5,0.1001,10.01,Man City vs Sunderland — Home Win (74.6%) | Nott'm Forest vs Coventry City — Home Win (67.3%) | Leeds vs Crystal Palace — Home Win (65.0%) | Fulham vs Man United — Away Win (62.2%) | Bournemouth vs Liverpool — Home Win (49.3%)
Parlay 5,Extreme Risk,5,0.1001,10.01,Man City vs Sunderland — Home Win (74.6%) | Nott'm Forest vs Coventry City — Home Win (67.3%) | Leeds vs Crystal Palace — Home Win (65.0%) | Fulham vs Man United — Away Win (62.2%) | Bournemouth vs Liverpool — Home Win (49.3%)
