Parlay,Risk_Level,Number_Of_Legs,Estimated_Hit_Probability,Estimated_Hit_Percentage,Legs
Parlay 1,Highest Confidence,2,0.819,81.9,Arsenal vs Coventry City — Home or Draw (92.8%) | Man City vs Bournemouth — Home or Draw (88.2%)
Parlay 2,Low Risk,3,0.6519,65.19,Arsenal vs Coventry City — Home or Draw (92.8%) | Man City vs Bournemouth — Home or Draw (88.2%) | Brentford vs Tottenham — Home or Draw (79.6%)
Parlay 3,Medium Risk,4,0.2712,27.12,Arsenal vs Coventry City — Home or Draw (92.8%) | Man City vs Bournemouth — Home or Draw (88.2%) | Hull City vs Man United — Away Win (58.5%) | Brentford vs Tottenham — Home Win (56.6%)
Parlay 4,High Risk,5,0.0813,8.13,Arsenal vs Coventry City — Home Win (74.2%) | Man City vs Bournemouth — Home Win (66.5%) | Hull City vs Man United — Away Win (58.5%) | Brentford vs Tottenham — Home Win (56.6%) | Nott'm Forest vs Leeds — Home Win (49.7%)
Parlay 5,Extreme Risk,7,0.0196,1.96,Arsenal vs Coventry City — Home Win (74.2%) | Man City vs Bournemouth — Home Win (66.5%) | Hull City vs Man United — Away Win (58.5%) | Brentford vs Tottenham — Home Win (56.6%) | Nott'm Forest vs Leeds — Home Win (49.7%) | Everton vs Crystal Palace — Home Win (49.5%) | Fulham vs Chelsea — Home Win (48.6%)
